STATUTORY INDEX

INTRODUCTION

This index specifies the offense guideline section(s) in Chapter Two (Offense Conduct) appli-
cable to the statute of conviction. If more than one guideline section is referenced for the particular
statute, use the guideline most appropriate for the offense conduct charged in the count of which the
defendant was convicted. For the rules governing the determination of the offense guideline section(s)
from Chapter Two, and for any exceptions to those rules, see §1B1.2 (Applicable Guidelines).

Historical  Note

Effective November 1, 1987. Amended effective November 1, 1989 (amendments 296 and 297); November 1, 1993
(amendment 496); November 1, 2000 (amendment 591); November 1, 2014 (amendment 781).
INDEX

Title Statue Guidelines 
18 1841(a)(1) 2X5.1
18 1841(a)(2)(C) 2A1.1,2A1.2,2A1.3,2A1.4,2A2.1,2A2.2
18 1851 2B1.1
18 1852 2B1.1
18 1853 2B1.1
18 1854 2B1.1
18 1855 2K1.4
18 1857 2B1.1,2B2.3
18 1860 2R1.1
18 1861 2B1.1
18 1864 2Q1.6
18 1901 2C1.3
18 1902 2B1.4
18 1903 2C1.3
18 1905 2H3.1
18 1909 2C1.3
18 1915 2T3.1
18 1919 2B1.1
18 1920 2B1.1
18 1923 2B1.1
18 1951 2B3.1,2B3.2,2B3.3,2C1.1
18 1952 2E1.2
18 1952A 2E1.4
18 1952B 2E1.3
18 1953 2E3.1
18 1954 2E5.1
18 1955 2E3.1
18 1956 2S1.1
18 1957 2S1.1
18 1958 2E1.4
18 1959 2E1.3
18 1960 2S1.1,2S1.3
18 1962 2E1.1
18 1963 2E1.1
18 1991 2A2.1,2X1.1
18 1992(a)(1) 2A5.2,2B1.1,2K1.4,2X1.1
18 1992(a)(2) 2K1.4,2M6.1,2X1.1
18 1992(a)(3) 2M6.1,2X1.1
18 1992(a)(4) 2A5.2,2K1.4,2M6.1, 2X1.1
18 1992(a)(5) 2A5.2,2B1.1,2X1.1
18 1992(a)(6) 2A5.2,2X1.1
18 1992(a)(7) 2A1.1,2A2.1,2A2.2, 2X1.1
18 1992(a)(8) 2X1.1
18 1992(a)(9) 2A6.1,2X1.1
18 1992(a)(10) 2A6.1,2X1.1
18 2071 2B1.1
18 2072 2B1.1
18 2073 2B1.1
18 2111 2B3.1
18 2112 2B3.1
